Nearest Ensembl,Gene Name,Gene Type,crel_mouse Best Motif log-odds Score,p65_p50_mouse Best Motif log-odds Score,crel_p50_mouse Best Motif log-odds Score
ENSMUSG00000071551,Akr1c19,protein-coding,2.200634,3.023751,3.369106
ENSMUSG00000021905,Dph3,protein-coding,6.176928,5.106744,6.022074
ENSMUSG00000091475,2810468N07Rik,ncRNA,3.508502,4.520485,4.961757
ENSMUSG00000026353,Ubxn4,protein-coding,3.089448,4.32829,5.24362
ENSMUSG00000022139,Mbnl2,protein-coding,5.331216,4.982545,6.496325
,Cd47,protein-coding,3.069692,3.266959,4.853736
,BB283400,ncRNA,4.618299,7.983484,7.610014
ENSMUSG00000097709,2810429I04Rik,ncRNA,2.238992,-1.53444,0.737791
ENSMUSG00000045103,Dmd,protein-coding,3.141975,8.185783,7.833175
ENSMUSG00000028747,Htr6,protein-coding,2.40989,-0.071128,3.859694
ENSMUSG00000073255,Gm14632,protein-coding,7.506072,7.926489,7.833175
ENSMUSG00000045662,Henmt1,protein-coding,0.652237,1.632967,3.726163
ENSMUSG00000032818,Loxhd1,protein-coding,8.556234,6.151994,6.677914
ENSMUSG00000095662,Gm14482,protein-coding,7.653147,4.403967,4.666321
ENSMUSG00000007097,Atp1a2,protein-coding,3.727739,7.013333,8.766016
ENSMUSG00000052182,Olfr849,protein-coding,2.845984,4.165181,4.331585
,Zdhhc3,protein-coding,5.577081,4.762381,7.315914
ENSMUSG00000040164,Kcns1,protein-coding,4.52267,6.437788,8.525023
ENSMUSG00000074141,Il4i1,protein-coding,9.237627,11.997794,11.675466
ENSMUSG00000002661,Alkbh7,protein-coding,5.425757,4.762381,7.315914
ENSMUSG00000047996,Prrg1,protein-coding,8.707662,5.422417,4.303032
ENSMUSG00000030450,Oca2,protein-coding,9.054574,6.494844,4.182517
ENSMUSG00000005057,Sh2b2,protein-coding,2.539832,6.040782,5.63219
ENSMUSG00000035785,Cmtm2b,protein-coding,6.107046,7.374761,4.19662
,Clcf1-pold4,ncRNA,3.163566,7.027661,6.9335
ENSMUSG00000096027,Mir467a-2,ncRNA,1.799907,1.200459,5.54818
ENSMUSG00000027375,Mal,protein-coding,4.63205,10.306245,7.846259
,Pglyrp2,protein-coding,2.347644,2.498363,3.114393
